CustomerID,Recency,Frequency,Monetary,Predicted_LTV,Segment
12346.0,326,2,0.0,69.94697500000001,Low
12347.0,2,7,4310.0,2652.181227857141,High
12348.0,75,4,1797.24,1218.6700333333347,Medium
12349.0,19,1,1757.55,446.83007673322095,Low
12350.0,310,1,334.4,401.08820261904765,Low
12352.0,36,11,1545.41,2109.7459000000013,High
12353.0,204,1,89.0,148.61591448412693,Low
12354.0,232,1,1079.4,367.7678708874459,Low
12355.0,214,1,459.4,706.2103791666672,Medium
12356.0,23,3,2811.43,1086.1289613046674,Medium
12357.0,33,1,6207.67,1079.4274267568544,Medium
12358.0,2,2,1168.06,774.5915332611835,Medium
12359.0,8,6,6245.53,2817.6476150829735,High
12360.0,52,3,2662.06,1732.8198442063501,High
12361.0,287,1,189.9,291.8480775793653,Low
12362.0,3,13,5154.58,3301.8139785714307,High
12363.0,110,2,552.0,456.56948166666683,Medium
12364.0,8,4,1313.1,862.7462795075757,Medium
12365.0,291,3,320.69,177.25151999999983,Low
12367.0,4,1,168.9,234.16545575636314,Low
12370.0,51,4,3545.69,1586.5270567460311,High
12371.0,45,2,1887.96,816.7698992857144,Medium
12372.0,72,3,1298.04,1134.3802971428565,Medium
12373.0,311,1,364.6,405.3719123809525,Low
12374.0,25,1,742.9300000000001,386.37282115031206,Low
12375.0,3,3,455.42,569.6337419444442,Medium
12377.0,315,2,1628.12,1199.0193276190478,Medium
12378.0,130,1,4008.62,1644.457941587302,High
12379.0,82,3,850.29,1577.0847681132757,High
12380.0,22,5,2720.56,1975.2978444913417,High
12381.0,5,6,1803.96,2152.7959323845625,High
12383.0,185,6,1839.31,1371.7278749999987,High
12384.0,29,3,566.16,943.386670823621,Medium
12386.0,338,2,401.9,727.1238000000001,Medium
12388.0,16,6,2780.66,1827.2710089954492,High
12390.0,80,1,549.84,606.3770515151513,Medium
12391.0,22,1,460.89,399.0458239317218,Low
12393.0,72,4,1582.6000000000001,2378.782156666666,High
12394.0,64,2,1272.48,520.5618287727226,Medium
12395.0,16,15,2998.28,4934.365704999996,High
12397.0,36,2,2409.9,797.8243112698416,Medium
12398.0,46,1,1635.6599999999999,559.3691784930346,Medium
12399.0,119,4,1108.65,984.5101166666652,Medium
12401.0,303,1,84.3,280.3270833333334,Low
12402.0,323,1,225.6,155.68400000000005,Low
12403.0,50,2,409.7,535.3171609157998,Medium
12405.0,149,1,1710.39,584.605832806638,Medium
12406.0,22,3,3280.75,1068.1405902777778,Medium
12407.0,50,5,1708.1200000000001,901.8039040079365,Medium
12408.0,33,9,2842.57,2866.200078333335,High
12409.0,79,7,11056.93,4641.521722857142,High
12410.0,301,3,681.0799999999999,449.5339999999993,Low
12412.0,75,3,1226.88,628.8653999999989,Medium
12413.0,67,5,694.15,1153.5093942857127,Medium
12414.0,217,3,562.41,675.4595333333341,Medium
12415.0,24,26,123725.45,83042.32310000008,High
12417.0,3,12,3578.8,3975.7166885714305,High
12418.0,113,1,668.58,384.0759208868908,Low
12420.0,64,1,600.39,299.1686030774208,Low
12421.0,16,5,806.27,3056.5775261904764,High
12422.0,96,3,803.5600000000001,1483.728968650794,High
12423.0,1,9,1849.11,1918.970168333331,High
12424.0,163,2,1760.96,1384.4658533333347,High
12425.0,78,1,777.2,441.22474152597385,Low
12426.0,195,1,582.73,474.7387400000004,Medium
12427.0,12,5,708.37,1061.7145314285717,Medium
12428.0,26,12,7877.2,6254.407403333333,High
12429.0,9,4,3750.4,902.9377553697688,Medium
12430.0,43,1,256.4,212.17703870601625,Low
12431.0,36,18,6416.39,4944.350933333329,High
12432.0,43,5,5059.32,2150.7301139285687,High
12433.0,1,7,13375.87,4658.383114558775,High
12434.0,85,4,765.19,841.8774500000005,Medium
12435.0,80,2,7829.89,252.91469500000014,Low
12436.0,100,1,509.01,364.88966249999976,Low
12437.0,2,19,4896.66,8343.955503809522,High
12438.0,14,2,2906.85,1045.2944305952387,Medium
12441.0,367,1,173.55,143.45296947718944,Low
12442.0,3,1,172.06,161.8824582539682,Low
12444.0,21,5,5005.46,2786.1526378571416,High
12445.0,22,1,133.4,399.0458239317218,Low
12446.0,58,1,1002.3100000000001,503.4579214538239,Medium
12447.0,243,1,476.49,292.03720142857185,Low
12448.0,44,1,449.45,304.41295582478784,Low
12449.0,22,4,4067.29,1240.00508079365,High
12450.0,156,2,197.88,158.98627999999994,Low
12451.0,11,6,8933.52,2887.5938875432894,High
12452.0,17,3,428.57,646.2202288608614,Medium
12453.0,134,1,707.09,421.365016547619,Low
12454.0,53,2,5.684341886080802e-14,517.0112165079371,Medium
12455.0,73,6,2466.86,1757.0136514285714,High
12456.0,44,4,3153.89,2309.248930753969,High
12457.0,58,12,1917.78,2267.7538000000004,High
12458.0,71,2,947.4,699.033296785714,Medium
12461.0,94,2,826.88,615.0667719696971,Medium
12462.0,2,4,1124.01,1221.1680510389615,Medium
12463.0,46,7,1303.63,4010.497948333334,High
12464.0,10,8,1212.05,2834.0531608333326,High
12465.0,8,3,733.89,1065.2650921031748,Medium
12468.0,143,3,724.0400000000001,14.324926190476178,Low
12471.0,2,49,18740.92,33253.62209999996,High
12472.0,31,13,6229.48,5352.2517999999955,High
12473.0,29,9,2848.23,3099.3968533333327,High
12474.0,17,30,7116.47,8818.02789999999,High
12475.0,54,1,723.38,337.80666136093464,Low
12476.0,1,20,6546.58,5475.598580000003,High
12477.0,23,9,13117.01,6586.137183333336,High
12478.0,4,1,680.99,234.16545575636314,Low
12479.0,4,3,477.3,839.7070033051951,Medium
12480.0,28,4,3281.63,1484.2268558333328,High
12481.0,23,11,5590.86,5799.519894354256,High
12483.0,17,13,2327.13,2718.3100166666686,High
12484.0,33,8,4495.27,3854.4825033333354,High
12488.0,10,3,1298.66,1804.8590071825397,High
12489.0,336,1,334.93,221.1070147619049,Low
12490.0,5,10,5417.93,4435.293086746031,High
12491.0,39,1,460.40000000000003,354.3672688455988,Low
12492.0,63,2,263.21000000000004,386.2360738797313,Low
12493.0,166,3,416.79,677.5553166666666,Medium
12494.0,10,13,1139.3500000000001,2775.8420709523807,High
12497.0,82,1,1043.1,318.0583224239648,Low
12498.0,21,3,403.70000000000005,818.8157834126989,Medium
12500.0,23,13,4206.27,5026.242918333333,High
12501.0,315,2,2089.68,1199.0193276190478,Medium
12502.0,96,5,3723.87,2739.5484249999995,High
12503.0,338,1,-1126.0,4.477479999999978,Low
12504.0,18,4,114.0,734.561492275474,Medium
12505.0,301,1,-4.5,59.05086666666665,Low
12506.0,233,1,73.5,203.21507249999996,Low
12507.0,134,4,1258.06,1195.6396799999984,Medium
12508.0,26,2,398.27,589.6888955158729,Medium
12509.0,284,1,176.5,167.0491591666666,Low
12510.0,143,2,982.5699999999999,198.82265638888904,Low
12512.0,66,2,138.03,371.3831751262626,Low
12513.0,85,2,586.79,697.3798672366521,Medium
12514.0,267,1,1017.68,461.40187027167275,Medium
12515.0,353,1,383.7,715.5829533333335,Medium
12516.0,78,2,1312.06,906.8735650000001,Medium
12517.0,28,6,2464.89,1876.6391001190466,High
12518.0,1,5,2056.89,1700.5526126186323,High
12519.0,64,1,340.84,299.1686030774208,Low
12520.0,79,6,2582.51,2544.06073809524,High
